iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
5400,0.087019668508,0.0871235988741,0.0870437268893,1.0,1.0,1.0,2780.59516608
5500,0.0868346851393,0.0869403964548,0.0868582383066,1.0,1.0,1.0,2831.4254221
5600,0.08668540042,0.0867983762342,0.0867100784568,1.0,1.0,1.0,2882.22957961
5700,0.0864593494711,0.0865738315475,0.0864844034948,1.0,1.0,1.0,2932.95723898
5800,0.086347892007,0.0864661380549,0.0863709231891,1.0,1.0,1.0,2983.71499981
5900,0.0862087736097,0.0863339991251,0.0862346973671,1.0,1.0,1.0,3034.3942706
6000,0.0860871051601,0.0862130845666,0.0861119815655,1.0,1.0,1.0,3085.11486183
6100,0.0859979232322,0.0861266136111,0.0860273749929,1.0,1.0,1.0,3135.74675028
6200,0.0858274541225,0.0859626528848,0.0858585369858,1.0,1.0,1.0,3186.37277922
6300,0.0857226368876,0.0858591296031,0.0857562878918,1.0,1.0,1.0,3237.18335603
6366,0.0855431314496,0.0856848094795,0.08557548675,1.0,1.0,1.0,3270.78126464,optimal
0,0.099583065902,0.0995977680713,0.0995713022556,1.0,1.0,1.0,0.511042434
100,0.0980629734802,0.0980768520738,0.0980501327007,1.0,1.0,1.0,51.109600067
200,0.0926493946112,0.0926623002129,0.0926294197508,1.0,1.0,1.0,101.768982724
300,0.0914160716163,0.0914296781211,0.0913956970836,1.0,1.0,1.0,152.456763313
400,0.0912377722383,0.0912512054033,0.0912152671558,1.0,1.0,1.0,203.210128373
500,0.0910938313991,0.0911086682581,0.0910713358202,1.0,1.0,1.0,254.000548992
600,0.0909215770393,0.0909386452989,0.0908968168744,1.0,1.0,1.0,304.994025237
700,0.0908150058681,0.0908341523404,0.090788222886,1.0,1.0,1.0,356.057934265
800,0.0906255078516,0.0906466202745,0.0906009369906,1.0,1.0,1.0,407.107131972
900,0.0905350146235,0.0905572975055,0.0905109799693,1.0,1.0,1.0,458.054019612
1000,0.0904125748551,0.0904357482176,0.0903904848461,1.0,1.0,1.0,509.022374534
1100,0.0903235483176,0.0903479699474,0.0903026806451,1.0,1.0,1.0,559.950243521
1200,0.0901999914866,0.0902267606807,0.0901811344852,1.0,1.0,1.0,610.782847497
1300,0.0901206146226,0.0901483543071,0.09010431763,1.0,1.0,1.0,661.528956011
1400,0.0899553089639,0.0899842796404,0.0899402656136,1.0,1.0,1.0,712.281691909
1500,0.0898751684383,0.0899053732058,0.0898593215448,1.0,1.0,1.0,763.143079921
1600,0.0897279818936,0.0897609945358,0.0897134955227,1.0,1.0,1.0,813.900476902
1700,0.0896236754549,0.0896578518579,0.089609628141,1.0,1.0,1.0,864.650496365
1800,0.0894767834966,0.0895129146334,0.0894623377924,1.0,1.0,1.0,915.364709109
1900,0.089348781249,0.08938791755,0.0893323289343,1.0,1.0,1.0,966.128696384
2000,0.089229773639,0.0892731001043,0.0892136415933,1.0,1.0,1.0,1016.90279837
2100,0.0890892780546,0.0891336051291,0.0890743393189,1.0,1.0,1.0,1067.82630966
2200,0.0889268945177,0.0889754919565,0.0889123915716,1.0,1.0,1.0,1118.74944413
2300,0.0887762296053,0.0888260996097,0.0887638200903,1.0,1.0,1.0,1169.58543393
2400,0.0886644994319,0.0887187871398,0.0886547001931,1.0,1.0,1.0,1220.22321817
2500,0.0884270276218,0.0884834972005,0.0884217961201,1.0,1.0,1.0,1270.89624613
2600,0.0882975419352,0.0883583297402,0.0882946391566,1.0,1.0,1.0,1321.58832621
2700,0.0882263350614,0.0882880138997,0.0882266489604,1.0,1.0,1.0,1372.32008215
2800,0.0881423055767,0.0882041944906,0.0881429572954,1.0,1.0,1.0,1423.02111087
2900,0.0879961365161,0.0880613184464,0.0879964598556,1.0,1.0,1.0,1473.65335002
3000,0.0877859622387,0.0878562042589,0.0877819573252,1.0,1.0,1.0,1524.28711679
3100,0.0875842432093,0.087659160769,0.0875784256943,1.0,1.0,1.0,1574.85331047
3200,0.0875102760273,0.0875863271012,0.0875064210162,1.0,1.0,1.0,1625.45252731
3300,0.0873361521108,0.0874171283603,0.0873318651708,1.0,1.0,1.0,1676.13251877
3400,0.0871608640431,0.087244096574,0.0871579059295,1.0,1.0,1.0,1726.78643148
3500,0.0870994194164,0.0871850021457,0.0870990700759,1.0,1.0,1.0,1777.43139132
3600,0.0869262894857,0.0870150122041,0.0869215750078,1.0,1.0,1.0,1828.08627334
